City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Avarua,CK,78.8,scattered clouds,-21.21,-159.78,Paradise Inn
5,Sorong,ID,78.78,overcast clouds,-0.88,131.25,The Waigo Hotel
9,Varzea Da Palma,BR,83.16,scattered clouds,-17.6,-44.73,Hotel Mineiro Ltda
12,Vaini,TO,78.8,few clouds,-21.2,-175.2,Keleti Beach Resort
13,Atuona,PF,78.15,light rain,-9.8,-139.03,Villa Enata
18,Vila Velha,BR,80.01,clear sky,-20.33,-40.29,Hotel Vitória Palace
21,Davila,PH,77.0,broken clouds,18.47,120.58,SITIO 3 DAVILA PASUQUIN
23,Sao Filipe,CV,79.32,clear sky,14.9,-24.5,Tortuga B&B
25,Wanning,CN,78.96,heavy intensity rain,18.8,110.4,Paradise Hotel
30,Abnub,EG,86.0,clear sky,27.27,31.15,مسجد الخطبة
32,Meulaboh,ID,76.75,broken clouds,4.14,96.13,Kost Pria
35,Muli,MV,81.91,overcast clouds,2.92,73.57,Medhufushi Island Resort
58,Kapaa,US,84.99,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
61,Lorengau,PG,85.17,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
63,Butaritari,KI,81.95,broken clouds,3.07,172.79,Isles Sunset Lodge
67,Bani,DO,82.0,broken clouds,18.28,-70.33,Hospedaje Henriquez
69,Coahuayana,MX,80.6,scattered clouds,18.73,-103.68,Hotel Los Arcos
73,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
77,Maceio,BR,77.0,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
79,Macau,MO,80.6,light intensity shower rain,22.2,113.55,Grand Emperor Hotel
82,Sao Felix Do Xingu,BR,75.85,broken clouds,-6.64,-51.99,Apart Hotel Rio Xingu
95,Samarai,PG,79.2,light rain,-10.62,150.67,Nuli Sapi
97,Hilo,US,87.8,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
