City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.33,60.01,68,100,13.33,overcast clouds
1,Hilo,US,19.73,-155.09,86.0,66,40,8.05,scattered clouds
2,Hermanus,ZA,-34.42,19.23,51.01,86,96,8.01,light rain
3,Ushuaia,AR,-54.8,-68.3,32.0,93,90,20.8,light snow
4,Dingle,PH,11.0,122.67,75.97,91,100,1.7,overcast clouds
5,Tuktoyaktuk,CA,69.45,-133.04,41.0,86,20,8.05,few clouds
6,Cape Town,ZA,-33.93,18.42,55.0,81,75,27.51,light intensity shower rain
7,Arman,RU,59.7,150.17,43.66,75,77,5.21,broken clouds
8,Colesberg,ZA,-30.72,25.1,46.98,37,0,1.01,clear sky
9,Hobart,AU,-42.88,147.33,54.0,50,20,13.87,few clouds
10,Mayo,US,38.89,-76.51,69.8,49,1,6.93,clear sky
11,Ribeira Grande,PT,38.52,-28.7,69.87,81,83,11.34,broken clouds
12,Avarua,CK,-21.21,-159.78,78.8,83,21,18.34,few clouds
13,Yellowknife,CA,62.46,-114.35,42.01,93,90,5.82,light intensity shower rain
14,Touros,BR,-5.2,-35.46,78.8,78,40,8.05,scattered clouds
15,Cherskiy,RU,68.75,161.3,39.92,83,99,11.97,light rain
16,Port Alfred,ZA,-33.59,26.89,61.86,76,73,20.62,broken clouds
17,Albany,US,42.6,-73.97,66.0,47,1,6.96,clear sky
18,Jamestown,US,42.1,-79.24,60.01,62,90,20.8,overcast clouds
19,Saint George,US,37.1,-113.58,91.99,8,1,1.63,clear sky
20,Camacha,PT,33.08,-16.33,69.8,77,40,13.87,scattered clouds
21,Hithadhoo,MV,-0.6,73.08,82.85,73,100,6.82,overcast clouds
22,Baruun-Urt,MN,46.68,113.28,38.21,79,89,4.43,moderate rain
23,Longyearbyen,SJ,78.22,15.64,35.6,93,75,4.7,light rain
24,Kapaa,US,22.08,-159.32,87.01,66,1,8.05,clear sky
25,Provideniya,RU,64.38,-173.3,39.2,80,20,8.95,few clouds
26,Kilifi,KE,-3.63,39.85,75.2,88,20,3.36,few clouds
27,Saldanha,ZA,-33.01,17.94,51.8,81,63,8.05,broken clouds
28,Rikitea,PF,-23.12,-134.97,71.82,82,72,24.2,broken clouds
29,Carnarvon,AU,-24.87,113.63,62.6,100,0,10.29,clear sky
30,Georgetown,MY,5.41,100.34,78.8,94,20,2.24,few clouds
31,Turcianske Teplice,SK,48.86,18.86,57.2,76,90,3.36,light rain
32,Guerrero Negro,MX,27.98,-114.06,96.85,24,0,15.19,clear sky
33,Nikolskoye,RU,59.7,30.79,50.0,87,17,3.58,fog
34,Sochi,RU,43.6,39.73,69.8,77,90,4.47,light intensity shower rain
35,Faanui,PF,-16.48,-151.75,78.66,79,4,23.6,clear sky
36,Paamiut,GL,61.99,-49.67,33.71,75,50,3.42,scattered clouds
37,Bangarapet,IN,12.97,78.2,68.0,100,75,9.17,light rain
38,Sao Filipe,CV,14.9,-24.5,79.56,80,10,9.53,clear sky
