City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Berlevag,NO,2020-09-28 14:37:52,70.86,29.09,51.8,76,20,9.17
1,Port Alfred,ZA,2020-09-28 14:37:52,-33.59,26.89,62.13,48,0,7.63
2,Qaanaaq,GL,2020-09-28 14:37:52,77.48,-69.36,13.55,80,0,10.71
3,Achinsk,RU,2020-09-28 14:37:53,56.27,90.5,40.95,80,8,7.54
4,Yellowknife,CA,2020-09-28 14:37:14,62.46,-114.35,46.4,100,90,8.05
5,Chokurdakh,RU,2020-09-28 14:37:53,70.63,147.92,39.22,75,20,8.7
6,Punta Arenas,CL,2020-09-28 14:37:53,-53.15,-70.92,39.2,55,40,9.17
7,Busselton,AU,2020-09-28 14:37:53,-33.65,115.33,50.0,74,49,9.1
8,Ushuaia,AR,2020-09-28 14:37:54,-54.8,-68.3,37.4,69,75,9.17
9,Talara,PE,2020-09-28 14:34:20,-4.58,-81.27,66.2,82,75,9.17
10,Pisco,PE,2020-09-28 14:37:54,-13.7,-76.22,63.0,82,90,6.93
11,Dikson,RU,2020-09-28 14:37:54,73.51,80.55,37.92,76,100,22.73
12,Thompson,CA,2020-09-28 14:37:54,55.74,-97.86,39.2,93,90,5.82
13,East London,ZA,2020-09-28 14:37:55,-33.02,27.91,64.4,52,10,12.75
14,Cape Town,ZA,2020-09-28 14:33:58,-33.93,18.42,63.0,67,40,11.41
15,Albany,US,2020-09-28 14:36:18,42.6,-73.97,72.0,90,99,10.71
16,Jackson,US,2020-09-28 14:37:55,42.42,-122.83,54.0,71,1,3.36
17,Launceston,AU,2020-09-28 14:37:55,-41.45,147.17,42.8,81,0,4.7
18,Atuona,PF,2020-09-28 14:37:55,-9.8,-139.03,77.4,75,6,16.55
19,Ajka,HU,2020-09-28 14:37:56,47.1,17.56,57.2,93,75,6.93
20,Magdagachi,RU,2020-09-28 14:37:56,53.45,125.8,40.35,76,59,5.35
21,Lavrentiya,RU,2020-09-28 14:37:56,65.58,-171.0,31.96,93,0,6.06
22,Mataura,NZ,2020-09-28 14:37:56,-46.19,168.86,36.0,79,100,20.0
23,Upernavik,GL,2020-09-28 14:36:30,72.79,-56.15,27.32,95,98,12.19
24,Roma,US,2020-09-28 14:37:56,43.21,-75.46,71.01,83,75,5.82
25,Carnarvon,AU,2020-09-28 14:37:57,-24.87,113.63,68.0,72,0,21.92
26,Alice Springs,AU,2020-09-28 14:37:57,-23.7,133.88,80.6,11,40,20.8
27,Vao,NC,2020-09-28 14:37:57,-22.67,167.48,68.2,91,100,20.36
28,Anapskaya,RU,2020-09-28 14:37:57,44.89,37.38,80.01,44,29,11.18
29,Barrow,US,2020-09-28 14:37:58,71.29,-156.79,30.2,86,90,9.17
30,Rikitea,PF,2020-09-28 14:37:58,-23.12,-134.97,74.37,81,4,8.55
31,Lebu,CL,2020-09-28 14:37:58,-37.62,-73.65,52.21,75,98,10.25
32,Samus,RU,2020-09-28 14:37:58,56.75,84.7,53.01,67,100,5.93
33,Geraldton,AU,2020-09-28 14:37:58,-28.77,114.6,53.6,87,2,5.82
34,Butaritari,KI,2020-09-28 14:37:59,3.07,172.79,81.54,73,81,12.33
35,Beringovskiy,RU,2020-09-28 14:37:59,63.05,179.32,37.2,76,77,7.36
36,Zhuhai,CN,2020-09-28 14:37:59,22.28,113.57,82.0,88,40,8.05
37,Sola,VU,2020-09-28 14:37:59,-13.88,167.55,79.3,79,4,16.67
38,Puerto Ayora,EC,2020-09-28 14:38:00,-0.74,-90.35,68.0,87,99,7.0
39,Pauini,BR,2020-09-28 14:38:00,-7.71,-66.98,90.64,47,29,5.28
40,Saint-Augustin,CA,2020-09-28 14:38:00,51.23,-58.65,69.84,70,95,15.14
41,Lorengau,PG,2020-09-28 14:38:00,-2.02,147.27,79.52,82,99,7.4
42,Kaarina,FI,2020-09-28 14:38:00,60.41,22.37,66.2,55,0,9.17
43,Raga,SS,2020-09-28 14:38:01,8.46,25.68,82.42,76,37,2.04
44,Stillwater,US,2020-09-28 14:38:01,36.12,-97.06,59.0,62,1,8.05
45,Detva,SK,2020-09-28 14:38:01,48.56,19.42,53.6,93,90,4.7
46,Komsomolskiy,UZ,2020-09-28 14:38:01,40.43,71.72,69.8,32,100,8.05
47,Chuy,UY,2020-09-28 14:38:01,-33.7,-53.46,62.51,65,40,15.05
48,Okhotsk,RU,2020-09-28 14:38:01,59.38,143.3,47.43,76,99,8.25
